id,value,feed_id,created_at,lat,lon,ele
0F997JPFX4JYZ6DQKT6P29TKY6,0,2496738,2023-04-11 03:17:03 UTC,,,
0F997JT34PVN8E8KWKBY905X7A,1,2496738,2023-04-11 03:17:14 UTC,,,
0F997JXPQ8EPEB2NXSMKM9CYHX,2,2496738,2023-04-11 03:17:26 UTC,,,
0F997K1GNM8NE1YFNZE0E7M5V0,3,2496738,2023-04-11 03:17:39 UTC,,,
0F997K546BDZNNK4XE52TNX3TF,4,2496738,2023-04-11 03:17:51 UTC,,,
0F997K8QXT3DQ003B8B109EJ1B,5,2496738,2023-04-11 03:18:02 UTC,,,
0F997KCBJ6RA5CWZATB241HMNB,6,2496738,2023-04-11 03:18:14 UTC,,,
0F997KFZ7CAKDZNEHPMRBTJNN9,7,2496738,2023-04-11 03:18:26 UTC,,,
0F997KKJSVDR4SKA6B1XCRP5GR,8,2496738,2023-04-11 03:18:38 UTC,,,
0F997KQ6AB0E260448EXYBPPF2,9,2496738,2023-04-11 03:18:50 UTC,,,
0F997KTT2C976C3DJXXD9F8R9H,10,2496738,2023-04-11 03:19:02 UTC,,,
0F997KYGS7VHB3KT1E92NCT12S,11,2496738,2023-04-11 03:19:14 UTC,,,
0F997M24H7DQV2BC59ZD1NXQV5,12,2496738,2023-04-11 03:19:26 UTC,,,
0F997M5R22FSH85YPDDP0PE4FT,13,2496738,2023-04-11 03:19:37 UTC,,,
0F997M9ETMQ8AGGX9GX6Z0RZX1,14,2496738,2023-04-11 03:19:50 UTC,,,
0F997MD2BSHA77Z1VSCQDV8K0M,15,2496738,2023-04-11 03:20:01 UTC,,,
0F997MGW689AZKD90B4EJ1PQYP,16,2496738,2023-04-11 03:20:14 UTC,,,
0F997MMFXBRVQPA7MG81EF82AJ,17,2496738,2023-04-11 03:20:26 UTC,,,
0F997MR3HWJ8MG68ZCX9A75WY1,18,2496738,2023-04-11 03:20:38 UTC,,,
0F997MVQ3XXHMN7J7SNBC2126C,19,2496738,2023-04-11 03:20:49 UTC,,,
0F997MZAVJ0HS5BCVEAXBV89QM,20,2496738,2023-04-11 03:21:01 UTC,,,
0F997N2YEE5FCHC6NPY22B40E1,21,2496738,2023-04-11 03:21:13 UTC,,,
0F997N6J0DHFR682M4ZVB2XB4N,22,2496738,2023-04-11 03:21:25 UTC,,,
0F997NA5NH3QJS872HGT1T29MT,23,2496738,2023-04-11 03:21:37 UTC,,,
0F997NDSJ69KTRRYEWA4TWDKX0,24,2496738,2023-04-11 03:21:49 UTC,,,
0F997NHDXGBYT45M8PJ8NE4Z61,25,2496738,2023-04-11 03:22:01 UTC,,,
0F997NMM28M652C92ZH1PBGFZ3,26,2496738,2023-04-11 03:22:11 UTC,,,
0F997NSNW8JT40YBY72C7G3XZR,27,2496738,2023-04-11 03:22:28 UTC,,,
0F997NWTJ5K0E75H5HEQB8Q85J,28,2496738,2023-04-11 03:22:38 UTC,,,
0F997P0E8SBTEZ17SY6KYEZZV0,29,2496738,2023-04-11 03:22:50 UTC,,,
0F997P41V2ACRYFWSVZYFWDQ1Z,30,2496738,2023-04-11 03:23:02 UTC,,,
0F997P7NCRV60WPC5PS8MG0QAF,31,2496738,2023-04-11 03:23:13 UTC,,,
0F997PB9DHXKNM385HXG0PRG23,32,2496738,2023-04-11 03:23:25 UTC,,,
0F997PEWK76TF3B8RKH7QQ4QNS,33,2496738,2023-04-11 03:23:37 UTC,,,
0F997PJ1CRBVH4V118SEXRZW8F,34,2496738,2023-04-11 03:23:47 UTC,,,
0F997PN7Q1SRHPDXZM8XTX4TNV,35,2496738,2023-04-11 03:23:58 UTC,,,
0F997PRV9VTGCK1HJXN25K355E,36,2496738,2023-04-11 03:24:10 UTC,,,
0F997PWF52960EAVTV4T73SK5F,37,2496738,2023-04-11 03:24:22 UTC,,,
0F997Q02PQNFJ5W3426CYYVZQS,38,2496738,2023-04-11 03:24:33 UTC,,,
0F997Q3P966P5MNPMHDNZ98JWE,39,2496738,2023-04-11 03:24:45 UTC,,,
0F997Q79XW8J2KPYPPEGZ47JBZ,40,2496738,2023-04-11 03:24:57 UTC,,,
0F997QAXEDGESZ59V9XBRMJN9R,41,2496738,2023-04-11 03:25:09 UTC,,,
0F997QEH649GZDH9W63NZCYRHK,42,2496738,2023-04-11 03:25:21 UTC,,,
